timestamp,temperature,windSpeed,shortForecast
2026-02-23 13:00:00-06:00,60,5 mph,Sunny
2026-02-23 14:00:00-06:00,62,5 mph,Sunny
2026-02-23 15:00:00-06:00,62,5 mph,Sunny
2026-02-23 16:00:00-06:00,62,5 mph,Sunny
2026-02-23 17:00:00-06:00,61,5 mph,Sunny
2026-02-23 18:00:00-06:00,60,5 mph,Mostly Clear
2026-02-23 19:00:00-06:00,58,5 mph,Clear
2026-02-23 20:00:00-06:00,55,0 mph,Clear
2026-02-23 21:00:00-06:00,53,0 mph,Clear
2026-02-23 22:00:00-06:00,52,0 mph,Clear
2026-02-23 23:00:00-06:00,51,0 mph,Clear
2026-02-24 00:00:00-06:00,50,0 mph,Clear
2026-02-24 01:00:00-06:00,48,0 mph,Clear
2026-02-24 02:00:00-06:00,46,0 mph,Clear
2026-02-24 03:00:00-06:00,45,0 mph,Clear
2026-02-24 04:00:00-06:00,44,0 mph,Clear
2026-02-24 05:00:00-06:00,44,0 mph,Clear
2026-02-24 06:00:00-06:00,44,0 mph,Sunny
2026-02-24 07:00:00-06:00,44,0 mph,Sunny
2026-02-24 08:00:00-06:00,48,5 mph,Sunny
2026-02-24 09:00:00-06:00,55,5 mph,Sunny
2026-02-24 10:00:00-06:00,60,5 mph,Sunny
2026-02-24 11:00:00-06:00,62,10 mph,Sunny
2026-02-24 12:00:00-06:00,66,10 mph,Sunny
2026-02-24 13:00:00-06:00,69,10 mph,Sunny
2026-02-24 14:00:00-06:00,69,10 mph,Sunny
2026-02-24 15:00:00-06:00,69,15 mph,Sunny
2026-02-24 16:00:00-06:00,70,15 mph,Sunny
2026-02-24 17:00:00-06:00,68,15 mph,Sunny
2026-02-24 18:00:00-06:00,65,15 mph,Mostly Clear
2026-02-24 19:00:00-06:00,64,15 mph,Mostly Clear
2026-02-24 20:00:00-06:00,61,15 mph,Partly Cloudy
2026-02-24 21:00:00-06:00,61,15 mph,Partly Cloudy
2026-02-24 22:00:00-06:00,61,15 mph,Partly Cloudy
2026-02-24 23:00:00-06:00,61,10 mph,Partly Cloudy
2026-02-25 00:00:00-06:00,61,10 mph,Partly Cloudy
2026-02-25 01:00:00-06:00,61,10 mph,Partly Cloudy
2026-02-25 02:00:00-06:00,61,10 mph,Partly Cloudy
2026-02-25 03:00:00-06:00,62,10 mph,Partly Cloudy
2026-02-25 04:00:00-06:00,62,10 mph,Partly Cloudy
2026-02-25 05:00:00-06:00,62,10 mph,Partly Cloudy
2026-02-25 06:00:00-06:00,63,10 mph,Mostly Sunny
2026-02-25 07:00:00-06:00,65,10 mph,Mostly Sunny
2026-02-25 08:00:00-06:00,66,15 mph,Mostly Sunny
