Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 08:21:38.725,.27 In.,Normal,Good,Value Change,,
2025-12-20 07:51:37.633,.28 In.,Normal,Good,Value Change,,
2025-12-20 07:21:36.540,.27 In.,Normal,Good,Value Change,,
2025-12-20 06:21:34.355,.28 In.,Normal,Good,Value Change,,
2025-12-20 05:21:32.273,.29 In.,Normal,Good,Value Change,,
2025-12-20 03:51:28.989,.28 In.,Normal,Good,Value Change,,
2025-12-20 03:21:32.112,.27 In.,Normal,Good,Value Change,,
2025-12-20 01:51:28.929,.28 In.,Normal,Good,Value Change,,
2025-12-20 01:21:27.833,.27 In.,Normal,Good,Value Change,,
2025-12-20 00:51:26.738,.28 In.,Normal,Good,Value Change,,
2025-12-19 23:51:24.558,.27 In.,Normal,Good,Value Change,,
2025-12-19 23:21:23.562,.28 In.,Normal,Good,Value Change,,
2025-12-19 22:51:22.467,.27 In.,Normal,Good,Value Change,,
2025-12-19 21:21:19.180,.28 In.,Normal,Good,Value Change,,
2025-12-19 20:21:17.000,.29 In.,Normal,Good,Value Change,,
2025-12-19 19:51:16.006,.28 In.,Normal,Good,Value Change,,
2025-12-19 19:21:14.912,.29 In.,Normal,Good,Value Change,,
2025-12-19 17:51:11.632,.28 In.,Normal,Good,Value Change,,
2025-12-19 17:21:10.547,.29 In.,Normal,Good,Value Change,,
2025-12-19 16:51:09.464,.28 In.,Normal,Good,Value Change,,
2025-12-19 14:51:05.212,.29 In.,Normal,Good,Value Change,,
2025-12-19 11:20:57.598,.28 In.,Normal,Good,Value Change,,
2025-12-19 08:50:52.247,.29 In.,Normal,Good,Value Change,,
2025-12-19 08:20:51.156,.30 In.,Normal,Good,Value Change,,
2025-12-19 01:20:40.199,.29 In.,Normal,Good,Value Change,,
2025-12-19 00:50:39.204,.28 In.,Normal,Good,Value Change,,
2025-12-18 19:50:28.403,.29 In.,Normal,Good,Value Change,,
2025-12-18 18:50:26.223,.30 In.,Normal,Good,Value Change,,
2025-12-18 17:20:22.957,.29 In.,Normal,Good,Value Change,,
2025-12-18 16:50:21.967,.28 In.,Normal,Good,Value Change,,
2025-12-18 16:20:20.875,.29 In.,Normal,Good,Value Change,,
2025-12-18 15:50:19.784,.30 In.,Normal,Good,Value Change,,
2025-12-18 14:50:17.606,.29 In.,Normal,Good,Value Change,,
2025-12-18 13:50:15.429,.28 In.,Normal,Good,Value Change,,
2025-12-18 13:20:14.342,.30 In.,Normal,Good,Value Change,,
2025-12-18 12:50:13.261,.29 In.,Normal,Good,Value Change,,
2025-12-18 12:20:12.183,.28 In.,Normal,Good,Value Change,,
2025-12-18 11:50:11.098,.27 In.,Normal,Good,Value Change,,
2025-12-18 11:20:10.111,.29 In.,Normal,Good,Value Change,,
2025-12-18 10:50:09.023,.30 In.,Normal,Good,Value Change,,
2025-12-18 10:20:07.933,.30 In.,Normal,Good,Value Change,,
2025-12-18 09:50:06.843,.27 In.,Normal,Good,Value Change,,
2025-12-18 09:20:05.757,.28 In.,Normal,Good,Value Change,,
2025-12-18 08:50:04.667,.27 In.,Normal,Good,Value Change,,
2025-12-18 08:20:03.578,.29 In.,Normal,Good,Value Change,,
2025-12-18 07:50:02.487,.28 In.,Normal,Good,Value Change,,
2025-12-18 00:19:50.317,.29 In.,Normal,Good,Value Change,,
2025-12-17 23:49:49.185,.30 In.,Normal,Good,Value Change,,
2025-12-17 19:19:39.482,.29 In.,Normal,Good,Value Change,,
2025-12-17 18:49:38.494,.30 In.,Normal,Good,Value Change,,
2025-12-17 15:19:30.870,.29 In.,Normal,Good,Value Change,,
2025-12-17 14:49:29.783,.28 In.,Normal,Good,Value Change,,
2025-12-17 09:19:18.014,.29 In.,Normal,Good,Value Change,,
2025-12-17 08:49:16.922,.28 In.,Normal,Good,Value Change,,
2025-12-16 21:48:57.126,.29 In.,Normal,Good,Value Change,,
2025-12-16 21:18:56.034,.28 In.,Normal,Good,Value Change,,
2025-12-16 19:48:52.764,.29 In.,Normal,Good,Value Change,,
2025-12-16 19:18:51.772,.28 In.,Normal,Good,Value Change,,
2025-12-16 18:18:49.589,.29 In.,Normal,Good,Value Change,,
