Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 08:13:10.595,-.06 In.,Low Low,Good,Value Change,,
2025-12-20 07:43:09.587,-.21 In.,Low Low,Good,Value Change,,
2025-12-20 07:13:08.477,-.27 In.,Low Low,Good,Value Change,,
2025-12-20 06:43:07.365,-.39 In.,Low Low,Good,Value Change,,
2025-12-20 05:13:04.134,-.39 In.,Low Low,Good,Value Change,,
2025-12-20 04:43:03.029,-.41 In.,Low Low,Good,Value Change,,
2025-12-20 04:13:02.019,-.44 In.,Low Low,Good,Value Change,,
2025-12-20 03:43:00.908,-.45 In.,Low Low,Good,Value Change,,
2025-12-20 03:12:59.803,-.49 In.,Low Low,Good,Value Change,,
2025-12-20 02:42:58.801,-.50 In.,Low Low,Good,Value Change,,
2025-12-20 02:12:57.691,-.53 In.,Low Low,Good,Value Change,,
2025-12-20 01:42:56.580,-.55 In.,Low Low,Good,Value Change,,
2025-12-20 01:12:55.570,-.59 In.,Low Low,Good,Value Change,,
2025-12-20 00:42:54.459,-.61 In.,Low Low,Good,Value Change,,
2025-12-20 00:12:53.347,-.63 In.,Low Low,Good,Value Change,,
2025-12-19 23:12:51.228,-.67 In.,Low Low,Good,Value Change,,
2025-12-19 22:42:50.117,-.67 In.,Low Low,Good,Value Change,,
2025-12-19 22:12:49.106,-.70 In.,Low Low,Good,Value Change,,
2025-12-19 21:42:47.995,-.72 In.,Low Low,Good,Value Change,,
2025-12-19 21:12:46.884,-.72 In.,Low Low,Good,Value Change,,
2025-12-19 20:42:45.873,-.71 In.,Low Low,Good,Value Change,,
2025-12-19 20:12:44.763,-.70 In.,Low Low,Good,Value Change,,
2025-12-19 19:42:43.654,-.65 In.,Low Low,Good,Value Change,,
2025-12-19 19:12:42.550,-.61 In.,Low Low,Good,Value Change,,
2025-12-19 18:42:41.541,-.63 In.,Low Low,Good,Value Change,,
2025-12-19 17:42:39.326,-.61 In.,Low Low,Good,Value Change,,
2025-12-19 17:12:38.317,-.58 In.,Low Low,Good,Value Change,,
2025-12-19 16:42:37.207,-.49 In.,Low Low,Good,Value Change,,
2025-12-19 16:12:36.099,-.38 In.,Low Low,Good,Value Change,,
2025-12-19 15:42:35.002,-.31 In.,Low Low,Good,Value Change,,
2025-12-19 15:12:33.993,-.27 In.,Low Low,Good,Value Change,,
2025-12-19 14:42:32.883,-.23 In.,Low Low,Good,Value Change,,
2025-12-19 13:12:29.667,-.21 In.,Low Low,Good,Value Change,,
2025-12-19 12:42:28.559,-.18 In.,Low Low,Good,Value Change,,
2025-12-19 12:12:27.457,-.08 In.,Low Low,Good,Value Change,,
2025-12-19 11:42:26.448,.16 In.,Normal,Good,Value Change,,
2025-12-19 11:12:25.338,.17 In.,Normal,Good,Value Change,,
2025-12-19 10:42:24.239,.22 In.,Normal,Good,Value Change,,
2025-12-19 10:12:26.199,.12 In.,Normal,Good,Value Change,,
2025-12-19 09:42:25.090,.04 In.,Normal,Good,Value Change,,
2025-12-19 09:12:24.081,-.12 In.,Low Low,Good,Value Change,,
2025-12-19 08:42:22.972,-.35 In.,Low Low,Good,Value Change,,
2025-12-19 08:12:21.861,-.32 In.,Low Low,Good,Value Change,,
2025-12-19 07:42:20.852,-.39 In.,Low Low,Good,Value Change,,
2025-12-19 07:12:19.741,-.40 In.,Low Low,Good,Value Change,,
2025-12-19 06:42:18.630,-.61 In.,Low Low,Good,Value Change,,
2025-12-19 05:42:16.507,-.63 In.,Low Low,Good,Value Change,,
2025-12-19 05:12:15.396,-.64 In.,Low Low,Good,Value Change,,
2025-12-19 04:42:14.384,-.63 In.,Low Low,Good,Value Change,,
2025-12-19 04:12:13.274,-.63 In.,Low Low,Good,Value Change,,
2025-12-19 03:42:12.162,-.62 In.,Low Low,Good,Value Change,,
2025-12-19 03:12:11.152,-.60 In.,Low Low,Good,Value Change,,
2025-12-19 02:42:10.040,-.59 In.,Low Low,Good,Value Change,,
2025-12-19 02:12:08.930,-.60 In.,Low Low,Good,Value Change,,
2025-12-19 01:42:07.919,-.64 In.,Low Low,Good,Value Change,,
