Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-06 19:10:20.634,1.67 In.,Normal,Good,Value Change,,
2025-12-06 18:40:00.014,1.57 In.,Normal,Good,Value Change,,
2025-12-06 18:09:39.294,1.65 In.,Normal,Good,Value Change,,
2025-12-06 17:39:18.675,1.70 In.,Normal,Good,Value Change,,
2025-12-06 17:08:58.064,1.57 In.,Normal,Good,Value Change,,
2025-12-06 16:38:37.341,1.88 In.,Normal,Good,Value Change,,
2025-12-06 16:08:16.714,1.91 In.,Normal,Good,Value Change,,
2025-12-06 15:07:35.369,2.12 In.,Normal,Good,Value Change,,
2025-12-06 14:37:14.740,2.31 In.,Normal,Good,Value Change,,
2025-12-06 14:06:56.508,2.39 In.,Normal,Good,Value Change,,
2025-12-06 13:36:35.874,2.47 In.,Normal,Good,Value Change,,
2025-12-06 13:06:15.140,2.68 In.,Normal,Good,Value Change,,
2025-12-06 12:35:54.503,2.79 In.,Normal,Good,Value Change,,
2025-12-06 12:05:33.868,2.89 In.,Normal,Good,Value Change,,
2025-12-06 11:35:13.241,3.00 In.,Normal,Good,Value Change,,
2025-12-06 11:04:52.519,3.10 In.,Normal,Good,Value Change,,
2025-12-06 10:34:31.893,3.23 In.,Normal,Good,Value Change,,
2025-12-06 10:04:11.264,3.37 In.,Normal,Good,Value Change,,
2025-12-06 09:33:50.538,3.39 In.,Normal,Good,Value Change,,
2025-12-06 09:03:29.911,3.36 In.,Normal,Good,Value Change,,
2025-12-06 08:33:09.281,3.39 In.,Normal,Good,Value Change,,
2025-12-06 08:02:48.654,3.40 In.,Normal,Good,Value Change,,
2025-12-06 07:32:27.932,3.28 In.,Normal,Good,Value Change,,
2025-12-06 07:02:07.228,3.39 In.,Normal,Good,Value Change,,
2025-12-06 06:31:46.592,3.42 In.,Normal,Good,Value Change,,
2025-12-06 06:01:25.649,3.29 In.,Normal,Good,Value Change,,
2025-12-06 05:31:04.911,3.37 In.,Normal,Good,Value Change,,
2025-12-06 05:00:44.187,3.42 In.,Normal,Good,Value Change,,
2025-12-06 04:30:23.452,3.48 In.,Normal,Good,Value Change,,
2025-12-06 04:00:02.730,3.56 In.,Normal,Good,Value Change,,
2025-12-06 03:29:42.102,3.64 In.,Normal,Good,Value Change,,
2025-12-06 02:59:21.275,3.73 In.,Normal,Good,Value Change,,
2025-12-06 02:29:00.648,3.82 In.,Normal,Good,Value Change,,
2025-12-06 01:58:39.615,3.90 In.,Normal,Good,Value Change,,
2025-12-06 01:28:18.895,3.98 In.,Normal,Good,Value Change,,
2025-12-06 00:57:58.268,4.05 In.,Normal,Good,Value Change,,
2025-12-06 00:27:37.237,4.11 In.,Normal,Good,Value Change,,
2025-12-05 23:57:16.610,4.21 In.,Normal,Good,Value Change,,
2025-12-05 23:26:55.887,4.29 In.,Normal,Good,Value Change,,
2025-12-05 22:56:35.258,4.34 In.,Normal,Good,Value Change,,
2025-12-05 22:26:14.629,4.45 In.,Normal,Good,Value Change,,
2025-12-05 21:55:54.000,4.53 In.,Normal,Good,Value Change,,
2025-12-05 21:25:33.279,4.62 In.,Normal,Good,Value Change,,
2025-12-05 20:55:12.655,4.74 In.,Normal,Good,Value Change,,
2025-12-05 20:24:52.027,4.82 In.,Normal,Good,Value Change,,
2025-12-05 19:54:31.399,4.96 In.,Normal,Good,Value Change,,
2025-12-05 19:24:10.670,5.09 In.,Normal,Good,Value Change,,
2025-12-05 18:53:50.042,5.20 In.,Normal,Good,Value Change,,
2025-12-05 18:23:29.418,5.35 In.,Normal,Good,Value Change,,
2025-12-05 17:53:08.697,5.51 In.,Normal,Good,Value Change,,
2025-12-05 17:22:48.069,5.69 In.,Normal,Good,Value Change,,
2025-12-05 16:52:27.442,5.88 In.,Normal,Good,Value Change,,
2025-12-05 16:22:06.815,6.07 In.,Normal,Good,Value Change,,
2025-12-05 15:51:46.087,6.18 In.,Normal,Good,Value Change,,
2025-12-05 15:21:25.460,6.30 In.,Normal,Good,Value Change,,
2025-12-05 14:51:04.833,6.33 In.,Normal,Good,Value Change,,
2025-12-05 14:20:47.154,6.36 In.,Normal,Good,Value Change,,
2025-12-05 13:50:26.526,6.46 In.,Normal,Good,Value Change,,
2025-12-05 13:20:05.898,6.62 In.,Normal,Good,Value Change,,
2025-12-05 12:49:45.269,6.79 In.,Normal,Good,Value Change,,
2025-12-05 12:19:24.543,6.95 In.,Normal,Good,Value Change,,
2025-12-05 11:49:03.916,7.12 In.,Normal,Good,Value Change,,
2025-12-05 11:18:43.288,7.29 In.,Normal,Good,Value Change,,
2025-12-05 10:48:22.659,7.45 In.,Normal,Good,Value Change,,
2025-12-05 10:18:01.933,7.60 In.,Normal,Good,Value Change,,
2025-12-05 09:47:41.306,7.77 In.,Normal,Good,Value Change,,
2025-12-05 09:17:20.678,7.90 In.,Normal,Good,Value Change,,
2025-12-05 08:46:59.958,8.06 In.,Normal,Good,Value Change,,
2025-12-05 08:16:39.328,8.18 In.,Normal,Good,Value Change,,
2025-12-05 07:46:18.699,8.30 In.,Normal,Good,Value Change,,
2025-12-05 07:15:58.070,8.46 In.,Normal,Good,Value Change,,
2025-12-05 06:45:37.343,8.61 In.,Normal,Good,Value Change,,
2025-12-05 06:15:16.714,8.77 In.,Normal,Good,Value Change,,
2025-12-05 05:44:56.095,8.95 In.,Normal,Good,Value Change,,
