Time,Value,State,Quality,Reason,Status,Suppression Type
2025-10-26 01:07:44.281,.53 In.,High High,Good,Timed Report,,
2025-10-26 01:00:54.989,.53 In.,High High,Good,Timed Report,,
2025-10-26 01:00:39.958,.53 In.,High High,Good,Timed Report,,
2025-10-26 01:00:39.468,.53 In.,High High,Good,Timed Report,,
2025-10-26 01:00:11.968,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:59:54.920,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:59:54.428,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:59:32.103,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:59:09.951,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:59:09.472,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:58:39.815,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:58:24.921,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:58:24.431,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:57:55.086,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:57:49.728,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:57:49.675,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:57:09.949,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:56:54.920,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:56:54.428,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:56:27.791,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:56:09.878,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:56:09.387,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:55:39.947,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:55:24.907,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:55:24.429,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:55:05.863,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:54:45.399,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:54:45.348,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:54:21.072,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:53:54.839,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:53:54.350,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:53:32.424,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:53:13.233,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:53:13.189,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:52:39.879,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:52:24.837,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:52:24.348,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:51:55.287,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:51:40.030,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:51:39.309,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:51:15.472,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:50:54.827,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:50:54.349,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:50:34.502,.53 In.,High High,Good,Timed Report,,
