Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 08:00:34.058,15.76 In.,Normal,Good,Value Change,,
2025-12-20 07:30:13.902,15.57 In.,Normal,Good,Value Change,,
2025-12-20 06:59:53.845,15.42 In.,Normal,Good,Value Change,,
2025-12-20 06:29:33.796,15.36 In.,Normal,Good,Value Change,,
2025-12-20 05:59:13.726,15.42 In.,Normal,Good,Value Change,,
2025-12-20 04:58:33.597,15.49 In.,Normal,Good,Value Change,,
2025-12-20 04:28:13.437,15.40 In.,Normal,Good,Value Change,,
2025-12-20 03:57:53.442,15.42 In.,Normal,Good,Value Change,,
2025-12-20 03:27:33.356,15.55 In.,Normal,Good,Value Change,,
2025-12-20 02:57:13.287,15.70 In.,Normal,Good,Value Change,,
2025-12-20 02:26:53.135,15.78 In.,Normal,Good,Value Change,,
2025-12-20 01:56:33.079,15.87 In.,Normal,Good,Value Change,,
2025-12-20 01:26:13.029,16.04 In.,Normal,Good,Value Change,,
2025-12-20 00:55:52.955,16.21 In.,Normal,Good,Value Change,,
2025-12-20 00:25:32.890,16.42 In.,Normal,Good,Value Change,,
2025-12-19 23:55:12.733,16.57 In.,Normal,Good,Value Change,,
2025-12-19 23:24:52.679,16.76 In.,Normal,Good,Value Change,,
2025-12-19 22:54:32.621,16.86 In.,Normal,Good,Value Change,,
2025-12-19 22:24:12.571,16.82 In.,Normal,Good,Value Change,,
2025-12-19 21:53:52.506,16.71 In.,Normal,Good,Value Change,,
2025-12-19 20:53:12.279,16.76 In.,Normal,Good,Value Change,,
2025-12-19 20:22:52.224,16.71 In.,Normal,Good,Value Change,,
2025-12-19 19:52:32.172,16.76 In.,Normal,Good,Value Change,,
2025-12-19 19:22:12.037,16.82 In.,Normal,Good,Value Change,,
2025-12-19 18:51:52.000,16.88 In.,Normal,Good,Value Change,,
2025-12-19 17:51:11.826,16.82 In.,Normal,Good,Value Change,,
2025-12-19 17:20:51.790,16.76 In.,Normal,Good,Value Change,,
2025-12-19 16:50:31.654,16.73 In.,Normal,Good,Value Change,,
2025-12-19 16:20:11.619,16.69 In.,Normal,Good,Value Change,,
2025-12-19 15:49:51.486,16.73 In.,Normal,Good,Value Change,,
2025-12-19 15:19:31.451,16.63 In.,Normal,Good,Value Change,,
2025-12-19 14:49:11.416,16.46 In.,Normal,Good,Value Change,,
2025-12-19 14:18:51.280,16.50 In.,Normal,Good,Value Change,,
2025-12-19 13:48:35.177,16.63 In.,Normal,Good,Value Change,,
2025-12-19 13:18:15.142,16.61 In.,Normal,Good,Value Change,,
2025-12-19 12:47:55.006,16.67 In.,Normal,Good,Value Change,,
2025-12-19 12:17:34.971,16.84 In.,Normal,Good,Value Change,,
2025-12-19 11:47:14.840,17.01 In.,Normal,Good,Value Change,,
2025-12-19 11:16:54.805,17.03 In.,Normal,Good,Value Change,,
2025-12-19 10:46:34.674,17.05 In.,Normal,Good,Value Change,,
2025-12-19 10:16:14.640,17.09 In.,Normal,Good,Value Change,,
