Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 08:00:00,201.16 Ft.,Normal,Good,Timed Report,,
2025-12-19 22:00:00,201.17 Ft.,Normal,Good,Timed Report,,
2025-12-19 21:00:00,201.19 Ft.,Normal,Good,Timed Report,,
2025-12-19 18:00:00,201.18 Ft.,Normal,Good,Timed Report,,
2025-12-19 17:00:00,201.19 Ft.,Normal,Good,Timed Report,,
2025-12-19 15:00:00,201.18 Ft.,Normal,Good,Timed Report,,
2025-12-19 14:00:00,201.20 Ft.,Normal,Good,Timed Report,,
2025-12-19 13:00:00,201.17 Ft.,Normal,Good,Timed Report,,
2025-12-19 04:00:00,201.19 Ft.,Normal,Good,Timed Report,,
2025-12-19 03:00:00,201.18 Ft.,Normal,Good,Timed Report,,
2025-12-18 23:00:00,201.20 Ft.,Normal,Good,Timed Report,,
2025-12-18 18:00:00,201.21 Ft.,Normal,Good,Timed Report,,
2025-12-18 17:00:00,201.24 Ft.,Normal,Good,Timed Report,,
2025-12-18 14:00:00,201.22 Ft.,Normal,Good,Timed Report,,
2025-12-18 13:00:00,201.24 Ft.,Normal,Good,Timed Report,,
2025-12-18 11:00:00,201.21 Ft.,Normal,Good,Timed Report,,
2025-12-18 10:00:00,201.26 Ft.,Normal,Good,Timed Report,,
2025-12-17 22:00:00,201.23 Ft.,Normal,Good,Timed Report,,
2025-12-17 16:00:00,201.24 Ft.,Normal,Good,Timed Report,,
2025-12-17 12:00:00,201.25 Ft.,Normal,Good,Timed Report,,
2025-12-17 11:00:00,201.28 Ft.,Normal,Good,Timed Report,,
2025-12-17 10:00:00,201.26 Ft.,Normal,Good,Timed Report,,
2025-12-17 09:00:00,201.24 Ft.,Normal,Good,Timed Report,,
2025-12-17 05:00:00,201.25 Ft.,Normal,Good,Timed Report,,
2025-12-17 02:00:00,201.28 Ft.,Normal,Good,Timed Report,,
2025-12-16 20:00:00,201.26 Ft.,Normal,Good,Timed Report,,
2025-12-16 17:00:00,201.28 Ft.,Normal,Good,Timed Report,,
2025-12-16 16:00:00,201.25 Ft.,Normal,Good,Timed Report,,
2025-12-16 15:00:00,201.27 Ft.,Normal,Good,Timed Report,,
2025-12-16 12:00:00,201.30 Ft.,Normal,Good,Timed Report,,
