Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 07:59:14.104,.11 In.,Normal,Good,Value Change,,
2025-12-20 06:59:11.969,.10 In.,Normal,Good,Value Change,,
2025-12-20 06:29:10.958,.10 In.,Normal,Good,Value Change,,
2025-12-20 04:59:07.705,.10 In.,Normal,Good,Value Change,,
2025-12-20 04:29:06.595,.10 In.,Normal,Good,Value Change,,
2025-12-20 03:59:05.570,.10 In.,Normal,Good,Value Change,,
2025-12-20 03:29:04.450,.10 In.,Normal,Good,Value Change,,
2025-12-20 02:29:02.330,.10 In.,Normal,Good,Value Change,,
2025-12-20 00:58:59.072,.10 In.,Normal,Good,Value Change,,
2025-12-19 23:58:56.942,.10 In.,Normal,Good,Value Change,,
2025-12-19 23:55:29.143,.08 In.,Normal,Good,Value Change,,
2025-12-19 23:28:56.637,.08 In.,Normal,Good,Value Change,,
2025-12-19 20:58:51.220,.09 In.,Normal,Good,Value Change,,
2025-12-19 18:58:46.888,.10 In.,Normal,Good,Value Change,,
2025-12-19 16:58:42.586,.10 In.,Normal,Good,Value Change,,
2025-12-19 16:28:41.478,.10 In.,Normal,Good,Value Change,,
2025-12-19 15:58:40.438,.11 In.,Normal,Good,Value Change,,
2025-12-19 13:58:59.366,.10 In.,Normal,Good,Value Change,,
2025-12-19 08:57:20.759,.10 In.,Normal,Good,Value Change,,
2025-12-19 07:57:18.622,.11 In.,Normal,Good,Value Change,,
2025-12-19 07:27:17.501,.10 In.,Normal,Good,Value Change,,
2025-12-19 04:57:12.096,.10 In.,Normal,Good,Value Change,,
2025-12-19 04:27:11.075,.10 In.,Normal,Good,Value Change,,
2025-12-19 02:57:07.823,.09 In.,Normal,Good,Value Change,,
2025-12-19 01:57:05.682,.10 In.,Normal,Good,Value Change,,
2025-12-19 01:27:04.563,.08 In.,Normal,Good,Value Change,,
2025-12-19 00:27:02.420,.09 In.,Normal,Good,Value Change,,
2025-12-18 20:56:54.913,.10 In.,Normal,Good,Value Change,,
2025-12-18 20:26:53.803,.09 In.,Normal,Good,Value Change,,
2025-12-18 17:27:06.354,.10 In.,Normal,Good,Value Change,,
2025-12-18 15:36:31.517,.10 In.,Normal,Good,Value Change,,
2025-12-18 14:00:05.250,.10 In.,Normal,Good,Value Change,,
2025-12-18 13:52:51.695,.11 In.,Normal,Good,Value Change,,
2025-12-18 13:30:06.351,.11 In.,Normal,Good,Value Change,,
2025-12-18 13:00:05.263,.10 In.,Normal,Good,Value Change,,
2025-12-18 12:30:04.175,.10 In.,Normal,Good,Value Change,,
2025-12-18 12:00:03.121,.10 In.,Normal,Good,Value Change,,
2025-12-18 09:59:58.812,.10 In.,Normal,Good,Value Change,,
2025-12-18 09:29:57.699,.11 In.,Normal,Good,Value Change,,
2025-12-18 07:29:53.348,.10 In.,Normal,Good,Value Change,,
2025-12-18 06:29:51.219,.10 In.,Normal,Good,Value Change,,
2025-12-18 05:59:50.112,.10 In.,Normal,Good,Value Change,,
2025-12-18 05:29:49.099,.11 In.,Normal,Good,Value Change,,
2025-12-18 04:59:47.985,.10 In.,Normal,Good,Value Change,,
2025-12-18 04:29:46.877,.10 In.,Normal,Good,Value Change,,
2025-12-18 03:59:45.863,.10 In.,Normal,Good,Value Change,,
2025-12-18 03:29:44.792,.10 In.,Normal,Good,Value Change,,
2025-12-18 01:59:41.541,.10 In.,Normal,Good,Value Change,,
2025-12-18 01:29:40.474,.10 In.,Normal,Good,Value Change,,
2025-12-18 00:59:39.406,.10 In.,Normal,Good,Value Change,,
2025-12-18 00:29:38.296,.10 In.,Normal,Good,Value Change,,
2025-12-17 23:59:37.227,.10 In.,Normal,Good,Value Change,,
2025-12-17 21:59:32.867,.10 In.,Normal,Good,Value Change,,
2025-12-17 21:29:31.801,.10 In.,Normal,Good,Value Change,,
2025-12-17 20:29:29.621,.10 In.,Normal,Good,Value Change,,
2025-12-17 19:29:27.497,.10 In.,Normal,Good,Value Change,,
2025-12-17 18:59:26.430,.10 In.,Normal,Good,Value Change,,
2025-12-17 17:59:24.312,.10 In.,Normal,Good,Value Change,,
2025-12-17 17:29:23.202,.10 In.,Normal,Good,Value Change,,
2025-12-17 16:59:22.135,.11 In.,Normal,Good,Value Change,,
2025-12-17 13:59:15.844,.10 In.,Normal,Good,Value Change,,
2025-12-17 13:29:14.832,.10 In.,Normal,Good,Value Change,,
2025-12-17 12:29:12.607,.10 In.,Normal,Good,Value Change,,
2025-12-17 11:59:11.537,.10 In.,Normal,Good,Value Change,,
2025-12-17 10:59:09.411,.10 In.,Normal,Good,Value Change,,
2025-12-17 10:29:08.341,.10 In.,Normal,Good,Value Change,,
2025-12-17 09:59:07.221,.10 In.,Normal,Good,Value Change,,
2025-12-17 08:59:05.087,.10 In.,Normal,Good,Value Change,,
2025-12-17 04:58:56.497,.10 In.,Normal,Good,Value Change,,
2025-12-17 04:28:55.372,.10 In.,Normal,Good,Value Change,,
2025-12-17 03:58:54.364,.10 In.,Normal,Good,Value Change,,
2025-12-17 03:28:53.202,.10 In.,Normal,Good,Value Change,,
2025-12-17 02:58:52.190,.10 In.,Normal,Good,Value Change,,
2025-12-17 01:58:50.053,.10 In.,Normal,Good,Value Change,,
2025-12-17 00:58:47.809,.10 In.,Normal,Good,Value Change,,
2025-12-17 00:28:46.742,.10 In.,Normal,Good,Value Change,,
2025-12-16 23:58:45.675,.10 In.,Normal,Good,Value Change,,
2025-12-16 19:28:35.978,.10 In.,Normal,Good,Value Change,,
2025-12-16 18:58:34.872,.11 In.,Normal,Good,Value Change,,
2025-12-16 15:40:48.984,.10 In.,Normal,Good,Value Change,,
2025-12-16 15:28:54.861,.10 In.,Normal,Good,Value Change,,
2025-12-16 15:02:12.269,.10 In.,Normal,Good,Value Change,,
