Time,Value,State,Quality,Reason,Status,Suppression Type
2025-08-19 23:17:38.967,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:17:23.998,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:17:09.153,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:16:53.921,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:16:39.273,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:16:23.999,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:16:08.993,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:15:53.999,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:15:38.961,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:15:23.919,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:15:08.960,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:14:53.919,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:14:38.883,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:14:24.163,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:14:08.879,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:13:54.079,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:13:39.119,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:13:23.919,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:13:08.949,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:12:53.917,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:12:39.120,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:12:23.919,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:12:08.870,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:11:53.999,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:11:38.876,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:11:24.008,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:11:08.886,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:10:53.848,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:10:38.879,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:10:24.048,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:10:09.429,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:09:53.840,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:09:38.871,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:09:23.989,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:09:08.869,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:08:53.848,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:08:38.869,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:08:23.840,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:08:08.878,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:07:53.840,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:07:38.640,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:07:23.829,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:07:08.642,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:06:53.840,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:06:39.607,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:06:23.839,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:06:08.870,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:05:53.842,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:05:38.789,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:05:23.767,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:05:08.881,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:04:53.920,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:04:38.791,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:04:23.759,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:04:08.803,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:03:56.645,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:03:38.790,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:03:23.769,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:03:08.722,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:02:53.760,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:02:38.721,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:02:23.760,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:02:08.720,1.71 In.,High High,Good,Timed Report,,
2025-08-19 23:01:53.844,1.71 In.,High High,Good,Timed Report,,
