Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 08:00:32.698,-.03 In.,Low Low,Good,Value Change,,
2025-12-20 05:00:30.425,-.02 In.,Low Low,Good,Value Change,,
2025-12-20 04:30:29.268,-.02 In.,Low Low,Good,Value Change,,
2025-12-20 03:00:26.059,-.02 In.,Low Low,Good,Value Change,,
2025-12-20 02:30:24.993,-.02 In.,Low Low,Good,Value Change,,
2025-12-20 02:00:23.916,-.02 In.,Low Low,Good,Value Change,,
2025-12-20 01:30:22.878,-.02 In.,Low Low,Good,Value Change,,
2025-12-20 00:00:19.566,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 23:30:18.511,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 22:00:15.314,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 21:30:14.242,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 20:30:12.091,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 19:30:09.941,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 19:00:08.869,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 16:00:02.345,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 15:30:01.303,-.01 In.,Low Low,Good,Value Change,,
2025-12-19 12:59:55.910,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 12:29:54.829,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 11:59:53.756,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 11:29:52.677,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 10:59:51.605,.00 In.,Low Low,Good,Value Change,,
2025-12-19 10:29:50.525,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 09:59:49.453,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 09:29:48.375,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 08:59:47.306,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 08:29:46.226,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 07:29:44.078,-.03 In.,Low Low,Good,Value Change,,
