Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 08:22:19.252,-.04 In.,Low Low,Good,Value Change,,
2025-12-20 07:22:17.085,-.03 In.,Low Low,Good,Value Change,,
2025-12-20 06:52:16.051,-.02 In.,Low Low,Good,Value Change,,
2025-12-20 05:22:12.747,-.03 In.,Low Low,Good,Value Change,,
2025-12-20 04:52:11.709,-.02 In.,Low Low,Good,Value Change,,
2025-12-20 04:22:10.581,-.03 In.,Low Low,Good,Value Change,,
2025-12-20 02:52:07.368,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 18:51:50.173,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 18:21:49.037,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 17:51:47.997,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 17:21:46.959,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 16:51:45.823,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 16:21:44.784,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 14:51:41.569,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 14:21:40.432,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 13:51:39.398,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 13:21:38.261,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 12:21:36.094,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 11:21:36.666,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 10:51:35.530,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 09:51:33.354,-.04 In.,Low Low,Good,Value Change,,
2025-12-19 07:51:29.038,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 07:21:28.000,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 06:21:25.825,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 04:21:21.571,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 03:51:20.432,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 03:21:19.356,-.02 In.,Low Low,Good,Value Change,,
2025-12-19 02:21:17.199,-.03 In.,Low Low,Good,Value Change,,
2025-12-19 01:51:16.109,-.02 In.,Low Low,Good,Value Change,,
2025-12-18 19:51:03.250,-.03 In.,Low Low,Good,Value Change,,
2025-12-18 19:21:02.110,-.04 In.,Low Low,Good,Value Change,,
