Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 05:45:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-19 21:30:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-19 19:30:00,201.80 Ft.,High,Good,Timed Report,,
2025-12-19 06:30:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-19 05:30:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-19 04:30:00,201.89 Ft.,High,Good,Timed Report,,
2025-12-19 01:15:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-19 00:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-18 23:15:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-18 22:15:00,201.80 Ft.,High,Good,Timed Report,,
2025-12-18 21:15:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-18 16:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-18 13:15:00,201.84 Ft.,High,Good,Timed Report,,
2025-12-18 11:15:00,201.87 Ft.,High,Good,Timed Report,,
2025-12-18 10:15:00,201.78 Ft.,High,Good,Timed Report,,
2025-12-18 09:15:00,201.75 Ft.,High,Good,Timed Report,,
2025-12-18 08:15:00,201.84 Ft.,High,Good,Timed Report,,
2025-12-18 02:15:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-18 01:15:00,201.84 Ft.,High,Good,Timed Report,,
2025-12-17 14:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-17 13:15:00,201.80 Ft.,High,Good,Timed Report,,
2025-12-17 04:15:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-16 23:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-16 22:15:00,201.79 Ft.,High,Good,Timed Report,,
2025-12-16 17:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-16 16:15:00,201.79 Ft.,High,Good,Timed Report,,
2025-12-16 14:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-16 13:15:00,201.85 Ft.,High,Good,Timed Report,,
2025-12-16 12:15:00,201.78 Ft.,High,Good,Timed Report,,
2025-12-16 08:15:00,201.80 Ft.,High,Good,Timed Report,,
2025-12-16 06:15:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-16 04:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-16 01:30:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-15 21:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-15 14:15:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-15 12:15:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-15 09:45:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-14 20:15:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-14 15:15:00,201.84 Ft.,High,Good,Timed Report,,
2025-12-14 14:15:00,201.87 Ft.,High,Good,Timed Report,,
2025-12-14 12:15:00,201.84 Ft.,High,Good,Timed Report,,
2025-12-14 11:30:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-14 10:15:00,201.80 Ft.,High,Good,Timed Report,,
2025-12-14 09:15:00,201.88 Ft.,High,Good,Timed Report,,
2025-12-14 08:30:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-14 07:15:00,201.85 Ft.,High,Good,Timed Report,,
2025-12-14 06:15:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-14 05:15:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-14 04:15:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-14 03:15:00,201.89 Ft.,High,Good,Timed Report,,
2025-12-14 02:15:00,201.82 Ft.,High,Good,Timed Report,,
2025-12-13 14:15:00,201.84 Ft.,High,Good,Timed Report,,
2025-12-13 13:15:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-13 12:15:00,201.86 Ft.,High,Good,Timed Report,,
2025-12-13 11:15:00,201.85 Ft.,High,Good,Timed Report,,
2025-12-13 10:15:00,201.86 Ft.,High,Good,Timed Report,,
2025-12-13 01:15:00,201.83 Ft.,High,Good,Timed Report,,
2025-12-12 15:15:00,201.85 Ft.,High,Good,Timed Report,,
2025-12-12 14:15:00,201.84 Ft.,High,Good,Timed Report,,
2025-12-12 13:15:00,201.81 Ft.,High,Good,Timed Report,,
2025-12-11 23:15:00,201.84 Ft.,High,Good,Timed Report,,
2025-12-11 08:15:00,201.85 Ft.,High,Good,Timed Report,,
2025-12-11 04:15:00,201.86 Ft.,High,Good,Timed Report,,
2025-12-11 00:15:00,201.85 Ft.,High,Good,Timed Report,,
2025-12-10 21:15:00,201.88 Ft.,High,Good,Timed Report,,
2025-12-10 16:15:00,201.87 Ft.,High,Good,Timed Report,,
2025-12-10 15:15:00,201.85 Ft.,High,Good,Timed Report,,
2025-12-10 10:15:00,201.87 Ft.,High,Good,Timed Report,,
2025-12-10 09:15:00,201.86 Ft.,High,Good,Timed Report,,
2025-12-09 23:15:00,201.87 Ft.,High,Good,Timed Report,,
2025-12-09 22:15:00,201.88 Ft.,High,Good,Timed Report,,
2025-12-09 21:15:00,201.87 Ft.,High,Good,Timed Report,,
2025-12-09 16:15:00,201.88 Ft.,High,Good,Timed Report,,
2025-12-09 14:15:00,201.86 Ft.,High,Good,Timed Report,,
2025-12-08 20:15:00,201.89 Ft.,High,Good,Timed Report,,
2025-12-08 17:15:00,201.90 Ft.,High,Good,Timed Report,,
