Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 07:15:00,203.02 Ft.,High,Good,Timed Report,,
2025-12-20 06:15:00,203.01 Ft.,High,Good,Timed Report,,
2025-12-20 02:15:00,203.02 Ft.,High,Good,Timed Report,,
2025-12-20 01:15:00,203.03 Ft.,High,Good,Timed Report,,
2025-12-20 00:15:00,203.02 Ft.,High,Good,Timed Report,,
2025-12-19 23:15:00,203.03 Ft.,High,Good,Timed Report,,
2025-12-19 15:15:00,203.02 Ft.,High,Good,Timed Report,,
2025-12-19 09:15:00,203.03 Ft.,High,Good,Timed Report,,
2025-12-19 06:15:00,203.04 Ft.,High,Good,Timed Report,,
2025-12-19 04:15:00,203.02 Ft.,High,Good,Timed Report,,
2025-12-19 03:15:00,203.04 Ft.,High,Good,Timed Report,,
2025-12-19 02:15:00,203.02 Ft.,High,Good,Timed Report,,
2025-12-19 01:15:00,203.04 Ft.,High,Good,Timed Report,,
2025-12-18 23:15:00,203.02 Ft.,High,Good,Timed Report,,
2025-12-18 21:15:00,203.04 Ft.,High,Good,Timed Report,,
2025-12-18 20:15:00,203.03 Ft.,High,Good,Timed Report,,
2025-12-18 14:15:00,203.04 Ft.,High,Good,Timed Report,,
2025-12-18 11:15:00,203.02 Ft.,High,Good,Timed Report,,
2025-12-18 06:15:00,203.04 Ft.,High,Good,Timed Report,,
2025-12-18 03:15:00,203.05 Ft.,High,Good,Timed Report,,
2025-12-17 18:15:00,203.04 Ft.,High,Good,Timed Report,,
2025-12-17 17:15:00,203.06 Ft.,High,Good,Timed Report,,
2025-12-17 16:15:00,203.04 Ft.,High,Good,Timed Report,,
2025-12-17 15:15:00,203.05 Ft.,High,Good,Timed Report,,
2025-12-17 12:15:00,203.03 Ft.,High,Good,Timed Report,,
2025-12-17 08:15:00,203.06 Ft.,High,Good,Timed Report,,
2025-12-17 07:15:00,203.08 Ft.,High,Good,Timed Report,,
2025-12-16 08:15:00,203.07 Ft.,High,Good,Timed Report,,
2025-12-16 01:15:00,203.08 Ft.,High,Good,Timed Report,,
2025-12-15 18:30:00,203.09 Ft.,High,Good,Timed Report,,
2025-12-15 17:30:00,203.11 Ft.,High,Good,Timed Report,,
2025-12-15 16:30:00,203.09 Ft.,High,Good,Timed Report,,
2025-12-15 15:45:00,200.30 Ft.,High,Good,Timed Report,,
2025-12-15 14:45:00,200.33 Ft.,High,Good,Timed Report,,
2025-12-15 13:45:00,203.07 Ft.,High,Good,Timed Report,,
2025-12-15 12:45:00,203.11 Ft.,High,Good,Timed Report,,
2025-12-15 03:45:00,203.10 Ft.,High,Good,Timed Report,,
2025-12-15 00:45:00,203.11 Ft.,High,Good,Timed Report,,
2025-12-14 20:45:00,203.13 Ft.,High,Good,Timed Report,,
2025-12-14 19:45:00,203.14 Ft.,High,Good,Timed Report,,
2025-12-14 18:45:00,203.10 Ft.,High,Good,Timed Report,,
