Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 01:15:00,200.41 Ft.,High,Good,Timed Report,,
2025-12-19 16:15:00,200.42 Ft.,High,Good,Timed Report,,
2025-12-19 09:15:00,200.44 Ft.,High,Good,Timed Report,,
2025-12-19 07:15:00,200.43 Ft.,High,Good,Timed Report,,
2025-12-18 22:15:00,200.44 Ft.,High,Good,Timed Report,,
2025-12-18 17:15:00,200.45 Ft.,High,Good,Timed Report,,
2025-12-18 14:15:00,200.46 Ft.,High,Good,Timed Report,,
2025-12-18 03:15:00,200.45 Ft.,High,Good,Timed Report,,
2025-12-17 22:15:00,200.44 Ft.,High,Good,Timed Report,,
2025-12-16 17:15:00,200.45 Ft.,High,Good,Timed Report,,
2025-12-16 06:15:00,200.46 Ft.,High,Good,Timed Report,,
2025-12-15 21:15:00,200.47 Ft.,High,Good,Timed Report,,
2025-12-15 16:15:00,200.48 Ft.,High,Good,Timed Report,,
2025-12-15 14:30:00,200.49 Ft.,High,Good,Timed Report,,
2025-12-15 01:15:00,200.50 Ft.,High,Good,Timed Report,,
2025-12-14 19:15:00,200.52 Ft.,High,Good,Timed Report,,
2025-12-14 17:15:00,200.53 Ft.,High,Good,Timed Report,,
2025-12-14 14:15:00,200.54 Ft.,High,Good,Timed Report,,
2025-12-14 12:15:00,200.55 Ft.,High,Good,Timed Report,,
2025-12-14 05:15:00,200.57 Ft.,High,Good,Timed Report,,
2025-12-14 03:15:00,200.58 Ft.,High,Good,Timed Report,,
2025-12-14 02:15:00,200.57 Ft.,High,Good,Timed Report,,
2025-12-13 16:15:00,200.58 Ft.,High,Good,Timed Report,,
2025-12-13 13:15:00,200.59 Ft.,High,Good,Timed Report,,
2025-12-13 10:15:00,200.58 Ft.,High,Good,Timed Report,,
2025-12-12 21:15:00,200.59 Ft.,High,Good,Timed Report,,
2025-12-12 17:15:00,200.60 Ft.,High,Good,Timed Report,,
2025-12-11 17:15:00,200.62 Ft.,High,Good,Timed Report,,
2025-12-11 04:15:00,200.63 Ft.,High,Good,Timed Report,,
2025-12-10 23:15:00,200.64 Ft.,High,Good,Timed Report,,
2025-12-10 16:15:00,200.65 Ft.,High,Good,Timed Report,,
2025-12-09 22:15:00,200.67 Ft.,High,Good,Timed Report,,
2025-12-09 17:15:00,200.68 Ft.,High,Good,Timed Report,,
2025-12-09 07:15:00,200.69 Ft.,High,Good,Timed Report,,
2025-12-09 00:15:00,200.70 Ft.,High,Good,Timed Report,,
2025-12-08 21:15:00,200.71 Ft.,High,Good,Timed Report,,
2025-12-08 17:15:00,200.72 Ft.,High,Good,Timed Report,,
2025-12-08 15:15:00,200.74 Ft.,High,Good,Timed Report,,
2025-12-08 08:00:00,200.75 Ft.,High,Good,Timed Report,,
2025-12-08 02:15:00,200.77 Ft.,High,Good,Timed Report,,
2025-12-08 01:15:00,200.78 Ft.,High,Good,Timed Report,,
2025-12-08 00:15:00,200.79 Ft.,High,Good,Timed Report,,
2025-12-07 20:15:00,200.81 Ft.,High,Good,Timed Report,,
2025-12-07 16:15:00,200.82 Ft.,High,Good,Timed Report,,
2025-12-07 14:15:00,200.84 Ft.,High,Good,Timed Report,,
2025-12-07 08:15:00,200.82 Ft.,High,Good,Timed Report,,
2025-12-07 04:15:00,200.84 Ft.,High,Good,Timed Report,,
2025-12-07 00:15:00,200.90 Ft.,High,Good,Timed Report,,
2025-12-06 17:15:00,200.92 Ft.,High,Good,Timed Report,,
2025-12-06 12:15:00,200.94 Ft.,High,Good,Timed Report,,
2025-12-06 07:15:00,200.95 Ft.,High,Good,Timed Report,,
2025-12-06 02:15:00,200.96 Ft.,High,Good,Timed Report,,
2025-12-05 22:00:00,200.98 Ft.,High,Good,Timed Report,,
2025-12-05 20:00:00,200.99 Ft.,High,Good,Timed Report,,
2025-12-05 17:00:00,201.00 Ft.,High,Good,Timed Report,,
2025-12-05 15:00:00,201.01 Ft.,High,Good,Timed Report,,
2025-12-05 12:00:00,201.02 Ft.,High,Good,Timed Report,,
2025-12-05 10:00:00,201.03 Ft.,High,Good,Timed Report,,
2025-12-05 07:00:00,201.04 Ft.,High,Good,Timed Report,,
2025-12-05 05:00:00,201.06 Ft.,High,Good,Timed Report,,
2025-12-05 03:00:00,201.07 Ft.,High,Good,Timed Report,,
2025-12-05 01:00:00,201.08 Ft.,High,Good,Timed Report,,
2025-12-04 22:00:00,201.09 Ft.,High,Good,Timed Report,,
2025-12-04 19:00:00,201.11 Ft.,High,Good,Timed Report,,
2025-12-04 16:00:00,201.12 Ft.,High,Good,Timed Report,,
2025-12-04 13:00:00,201.13 Ft.,High,Good,Timed Report,,
2025-12-04 09:00:00,201.15 Ft.,High,Good,Timed Report,,
2025-12-04 01:00:00,201.16 Ft.,High,Good,Timed Report,,
2025-12-04 00:00:00,201.14 Ft.,High,Good,Timed Report,,
2025-12-03 23:00:00,201.09 Ft.,High,Good,Timed Report,,
2025-12-03 22:00:00,201.08 Ft.,High,Good,Timed Report,,
2025-12-03 19:00:00,201.04 Ft.,High,Good,Timed Report,,
2025-12-03 17:00:00,201.06 Ft.,High,Good,Timed Report,,
2025-12-03 14:00:00,201.07 Ft.,High,Good,Timed Report,,
2025-12-03 11:00:00,201.08 Ft.,High,Good,Timed Report,,
2025-12-03 08:00:00,201.09 Ft.,High,Good,Timed Report,,
2025-12-03 05:00:00,201.10 Ft.,High,Good,Timed Report,,
2025-12-03 02:00:00,201.11 Ft.,High,Good,Timed Report,,
2025-12-03 00:00:00,201.13 Ft.,High,Good,Timed Report,,
2025-12-02 22:00:00,201.14 Ft.,High,Good,Timed Report,,
2025-12-02 20:00:00,201.15 Ft.,High,Good,Timed Report,,
2025-12-02 17:00:00,201.16 Ft.,High,Good,Timed Report,,
2025-12-02 15:00:00,201.18 Ft.,High,Good,Timed Report,,
2025-12-02 13:00:00,201.19 Ft.,High,Good,Timed Report,,
2025-12-02 10:00:00,201.20 Ft.,High,Good,Timed Report,,
2025-12-02 07:00:00,201.22 Ft.,High,Good,Timed Report,,
2025-12-02 05:00:00,201.23 Ft.,High,Good,Timed Report,,
2025-12-02 03:00:00,201.24 Ft.,High,Good,Timed Report,,
