Date,Temperature (C),Humidity (%),Precipitation (mm),Snow Depth (cm),Wind Direction (deg),Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Sunshine (min),Cloud Cover (%),Weather Code
2025-04-20 00:00:00,26.0,74,0.0,,160,22.3,21.0,1013.4,,3,5
2025-04-20 01:00:00,25.0,78,0.0,,150,27.7,21.0,,,6,3
2025-04-20 02:00:00,24.0,83,0.0,,160,25.9,20.0,,,4,3
2025-04-20 03:00:00,24.0,83,0.0,,160,29.5,24.0,,,4,5
2025-04-20 04:00:00,24.0,89,0.0,,160,24.1,20.0,,,2,5
2025-04-20 05:00:00,24.0,89,0.0,,170,35.3,21.0,,,8,5
2025-04-20 06:00:00,23.0,94,0.0,,170,24.1,22.0,1014.1,,8,3
2025-04-20 07:00:00,23.0,88,0.0,,180,24.1,23.0,,,6,3
2025-04-20 08:00:00,23.0,88,0.0,,170,29.5,24.0,,,6,3
2025-04-20 09:00:00,24.0,83,0.0,,170,22.3,17.0,,,6,3
2025-04-20 10:00:00,24.0,89,0.0,,180,20.5,15.0,,,4,5
2025-04-20 11:00:00,23.0,94,0.0,,180,14.8,,,,6,5
2025-04-20 12:00:00,23.0,94,0.0,,190,9.4,,1012.6,,2,5
2025-04-20 13:00:00,23.0,94,0.4,,0,0.0,,,,2,5
2025-04-20 14:00:00,23.0,100,0.0,,300,11.2,11.0,,,2,5
2025-04-20 15:00:00,24.0,89,0.0,,0,0.0,,,,2,5
2025-04-20 16:00:00,26.0,79,0.0,,190,18.4,,,,2,5
2025-04-20 17:00:00,29.0,66,0.5,,210,27.7,22.0,,,4,5
2025-04-20 18:00:00,30.0,62,0.0,,190,24.1,18.0,1011.2,,2,3
2025-04-20 19:00:00,30.0,62,0.7,,190,25.9,21.0,,,6,5
2025-04-20 20:00:00,29.0,62,1.4,,200,27.7,,,,2,5
2025-04-20 21:00:00,30.0,66,0.5,,170,24.1,,,,4,17
2025-04-20 22:00:00,28.0,74,0.0,,190,25.9,22.0,,,2,5
2025-04-20 23:00:00,27.0,79,0.4,,210,22.3,21.0,,,4,5
2025-04-21 00:00:00,23.0,100,0.6,,290,16.6,,1008.3,,6,5
2025-04-21 01:00:00,22.0,100,0.1,,0,0.0,,,,6,5
2025-04-21 02:00:00,23.0,100,0.4,,310,5.4,,,,2,5
2025-04-21 03:00:00,23.0,100,0.4,,0,0.0,,,,2,5
2025-04-21 04:00:00,23.0,100,0.6,,0,0.0,,,,6,5
2025-04-21 05:00:00,23.0,100,3.9,,0,0.0,,,,2,5
2025-04-21 06:00:00,23.0,100,1.7,,180,9.4,,1012.5,,2,5
2025-04-21 07:00:00,23.0,100,1.7,,190,9.4,,,,6,5
2025-04-21 08:00:00,23.0,100,6.9,,0,0.0,,,,6,5
2025-04-21 09:00:00,23.0,100,0.0,,0,0.0,,,,6,5
2025-04-21 10:00:00,23.0,100,0.0,,350,7.6,,,,4,5
2025-04-21 11:00:00,21.0,100,0.0,,20,11.2,,,,2,3
2025-04-21 12:00:00,19.0,100,0.0,,40,9.4,,1013.6,,2,3
2025-04-21 13:00:00,19.0,100,0.0,,10,9.4,,,,0,3
2025-04-21 14:00:00,20.0,94,0.0,,40,14.8,12.0,,,6,3
2025-04-21 15:00:00,22.0,88,0.0,,50,11.2,,,,8,3
2025-04-21 16:00:00,23.0,88,0.0,,40,14.8,,,,6,3
2025-04-21 17:00:00,25.0,84,0.0,,60,13.0,,,,6,3
2025-04-21 18:00:00,26.0,79,1.7,,40,14.8,,1014.0,,6,9
2025-04-21 19:00:00,26.0,79,0.9,,40,13.0,,,,2,8
2025-04-21 20:00:00,27.0,79,0.0,,40,9.4,,,,0,3
2025-04-21 21:00:00,28.0,70,0.0,,0,0.0,,,,4,5
2025-04-21 22:00:00,28.0,62,0.0,,0,0.0,11.0,,,4,5
2025-04-21 23:00:00,28.0,66,0.0,,190,11.2,,,,0,3
2025-04-22 00:00:00,27.0,70,0.0,,200,5.4,,1010.8,,0,5
2025-04-22 01:00:00,25.0,78,0.0,,220,5.4,,,,0,1
2025-04-22 02:00:00,24.0,78,0.0,,160,13.0,,1016.0,,6,1
2025-04-22 03:00:00,24.0,78,0.0,,160,16.6,11.0,1017.0,,8,1
2025-04-22 04:00:00,23.0,83,0.0,,170,13.0,,1017.0,,6,2
2025-04-22 05:00:00,22.0,83,0.0,,160,7.6,,,,2,1
